Altium Designer Pick and Place Locations
\\Mac\Home\Documents\GitHub\ReboostV2-Hardware\Project Outputs for Reboostv2\Pick Place\Pick Place for ReboostV2.txt

========================================================================================================================
File Design Information:

Date:       01/01/23
Time:       15:39
Revision:   52b1695e4ad20a3b8fe6777aad4f220661b6bfcf
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                            Center-X(mil) Center-Y(mil) Rotation Description                                                                                      
L2         "33uH, 13A"        TopLayer    WE-HCF_2920                          1511.811      519.685       0        "WE-HCF SMT High Current Inductor, size 2920, 68uH, 11.2A, 24.42mOhm"                            
R52        49.9K              BottomLayer 0603                                 1074.803      637.795       90       "Resistor, 49.9K, 1%, 0.063W, 50V, 100PPM, 0603"                                                 
R51        49.9K              BottomLayer 0603                                 1133.858      637.795       90       "Resistor, 49.9K, 1%, 0.063W, 50V, 100PPM, 0603"                                                 
J7         U.FL               BottomLayer U_FL                                 744.095       143.701       360      "Connector RF Coax"                                                                              
J6         U.FL               BottomLayer U_FL                                 559.055       143.701       0        "Connector RF Coax"                                                                              
C23        100uF              TopLayer    WCAP-ATUL_10x20x5x0.6                2450.788      1732.284      270      "Aluminum Electrolytic Capacitor, 100uF, 100V"                                                   
R50        10K                BottomLayer 0603                                 2232.284      881.890       270      "Resistor, 10K, 1%, 0.063W, 50V, 100PPM, 0603"                                                   
R46        49.9K              BottomLayer 0603                                 1850.394      767.717       90       "Resistor, 49.9K, 1%, 0.063W, 50V, 100PPM, 0603"                                                 
J5         U.FL               BottomLayer U_FL                                 1712.599      521.654       180      "Connector RF Coax"                                                                              
J3         U.FL               TopLayer    U_FL                                 1820.866      1303.150      270      "Connector RF Coax"                                                                              
C27        100nF              BottomLayer C-1206                               2027.559      381.890       180      "Capacitor, 100nF, 100V, X7R"                                                                    
C38        1uF                BottomLayer C-1206                               2271.654      1433.071      270      "Capacitor, 1uF, 100V, X7R"                                                                      
J4         "TagConnect 6p NL" TopLayer    TC2030-IDC-NL                        649.606       325.394       180      "“No Legs” 6-pin Plug-of-Nails™ Cable fitted with a 6-pin 0.1" pitch ribbon connector."          
U8         LTC3639EMSE        BottomLayer MSE1612                              1488.189      1942.913      270      "High Efficiency, 150V 100mA Synchronous Step-Down Regulator"                                    
J2         USB-B-MINI-VERT    TopLayer    USB-B-MINI-VERT                      307.087       551.181       0        "Connector, Usb B Mini, Vertical, TH, WR-COM"                                                    
L7_VLS     90Ohm              BottomLayer WE-CNSW_0805                         1133.859      411.417       90       "WE-CNSW SMT Common Mode Line Filter, size 0805, 90Ohm, 0.37A, 50V"                              
L7_VHS     90Ohm              BottomLayer WE-CNSW_0805                         1196.851      1070.866      180      "WE-CNSW SMT Common Mode Line Filter, size 0805, 90Ohm, 0.37A, 50V"                              
L6         800Ohm             BottomLayer WE-CNSW_1812                         393.701       2175.197      90       "WE-CNSW SMT Common Mode Line Filter, size 1812, 800Ohm, 1A, 60V"                                
C64        1uF                BottomLayer C-1206                               1519.685      2122.047      180      "Capacitor, 1uF, 100V, X7R"                                                                      
